distance,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
65.594,0.22548228,0.18065996,0.19977106,0.20901905,0.23339218,0.21274629,0.26909662,0.29943627
65.974,0.22780577,0.19198655,0.19389998,0.19508556,0.23617389,0.21965354,0.2749621,0.32522479
66.353,0.22131384,0.20185216,0.18635748,0.19170203,0.20989916,0.22354494,0.2774535,0.32924771
66.732,0.22320492,0.20319532,0.17801437,0.18795241,0.20478598,0.22740716,0.2807208,0.308945
67.111,0.23159369,0.21809584,0.17591455,0.17800704,0.19178681,0.23417171,0.2941993,0.29977587
67.49,0.21182385,0.22124561,0.18124486,0.18500153,0.19525949,0.23365286,0.29088573,0.30063792
67.869,0.21425112,0.19932292,0.18656114,0.19068142,0.20220487,0.23260542,0.29124876,0.28899234
68.249,0.23142073,0.20957341,,0.17508389,0.20526743,0.22608084,0.28919869,0.29255027
68.628,0.23518559,0.21101869,,0.16512189,0.1832366,0.22584411,0.28284561,0.29732554
69.007,0.23641364,0.21639921,,0.16505533,0.17609954,0.22760821,0.28129026,0.29575294
69.386,0.23570448,0.21335941,,0.1776465,0.19690445,0.22805248,0.27291202,0.30662529
69.765,0.24870565,0.2067614,,0.1988851,0.19154162,0.21502601,0.27701928,0.31740359
70.144,0.2451887,0.19099685,,0.1811798,0.1845383,0.2074929,0.27474499,0.32217886
70.523,0.23055014,0.19332972,,0.16378512,0.17909969,0.20232057,0.27244578,0.30851136
70.903,0.21661497,0.18407679,,0.17861719,0.20970302,0.19951876,0.27865649,0.30895545
71.282,0.21019799,0.18782352,,0.17846743,0.21191858,0.20338422,0.28191667,0.3107945
71.661,0.21877126,0.1897715,,0.17178911,0.21050098,0.21193883,0.26889375,0.30859495
72.04,0.22484231,0.17676399,,0.16049033,0.20246342,0.21091733,0.25891745,0.31910158
72.419,0.22996783,0.16813944,,0.15757828,0.20186161,,0.25726244,0.29796294
72.798,0.23761286,0.18344055,,0.18321546,0.20207113,,0.26180392,0.28735182
73.178,0.23629256,0.2002812,,0.17088499,0.19735024,,0.2680004,0.29805175
73.557,0.23387683,0.18362121,,0.16188812,0.19273633,,0.27363453,0.29797861
73.936,0.24303818,0.17476887,,0.17648723,0.18995462,,0.27280169,0.2959985
74.315,0.24397219,0.17902616,,0.17875586,0.19130536,,0.27494074,0.29594625
74.694,0.23526631,0.1870459,,0.16758466,0.19854049,,0.27873835,0.29553873
75.073,0.23059627,0.20387084,,0.17142302,0.19438129,,0.26434871,0.29492223
75.453,0.23106904,0.22046799,,0.16557118,0.19139451,,0.26730992,0.29547604
75.832,0.2211524,0.21294311,,0.16708545,0.19400683,,0.26769431,0.29422736
76.211,0.21811976,0.19185302,,0.16220983,0.20542345,,0.26609981,0.28891919
76.59,0.22333176,0.19148385,,0.15483263,0.20486622,,0.26359773,0.29896083
76.969,0.21994165,0.19094187,,0.15901489,0.19378839,,0.26421702,0.29697027
